0, 1
1, 2
3, 4
4, 5
0, 3
1, 4
2, 5
2, 6
6, 7
7, 8
8, 9
5, 10
10, 11
11, 12
12, 13
6, 10
7, 11
8, 12
9, 13
9, 14
14, 15
13, 16
16, 17
14, 16
15, 17
18, 19
19, 20
20, 24
21, 22
22, 23
23, 30
18, 21
19, 22
20, 23
24, 30
24, 25
25, 26
26, 27
27, 28
28, 29
30, 31
31, 32
32, 33
33, 34
34, 35
25, 31
26, 32
27, 33
28, 34
29, 35
29, 36
36, 37
37, 38
35, 39
39, 40
40, 41
36, 39
37, 40
38, 41
0, 19
1, 20
2, 25
6, 26
7, 27
8, 28
9, 36
14, 37
3, 22
4, 23
5, 31
10, 32
11, 33
12, 34
13, 39
16, 40
1, 19
2, 20
6, 25
7, 26
8, 27
9, 28
14, 36
15, 37
4, 22
5, 23
10, 31
11, 32
12, 33
13, 34
16, 39
17, 40
2, 24
9, 29
5, 30
13, 35
0, 18
3, 21
15, 38
17, 41
0, 4
2, 4
2, 10
7, 10
7, 12
9, 12
9, 16
15, 16
19, 21
19, 23
23, 24
24, 31
26, 31
26, 33
28, 33
28, 35
35, 36
36, 40
38, 40
